city_code,city_heb,city
2,מרום הגליל,Merom HaGalil
8,הגלבוע,Gilboa
12,זבולון,Zvulun
29,חבל יבנה,Hevel Yavne
31,אופקים,Ofakim
37,שער הנגב,Shaar HaNegev
46,יבנאל,Yavneel
53,חבל אילות,Hevel Eilot
65,מגדל,Migdal
68,נווה מדבר,Neve Midbar
70,אשדוד,Ashdod
73,מטה בנימין,Binyamin
78,הר חברון,Har Hevron
99,מצפה רמון,Mitzpe Ramon
246,נתיבות,Netivot
469,קריית עקרון,Kiryat Ekron
472,אבו גוש,Abu Ghosh
481,מגאר,Maghar
482,בועיינה-נוגידאת,Bu'eine Nujeidat
496,חורפיש,Hurfeish
499,יפיע,Yafa an-Naseriyye
502,ירכא,Yarka
505,כאוכב אבו אל-היגא,Kaokab Abu al-Hija
507,כפר יאסיף,Kafr Yasif
525,סאגור,Sajur
529,אעבלין,I'billin
531,עארבה,Arraba
654,כפר קרע,Kafr Qara
831,ירוחם,Yeroham
874,מגדל העמק,Migdal HaEmek
922,רכסים,Rekhasim
944,בסמת טבעון,Bosmat Tivon
962,טובא-זנגרייה,Tuba-Zangariyye
975,זרזיר,Zarzir
978,כעביה-טבאש-חגאגרה,Ka'abiyye-Tabbash-Hajajre
998,ביר אל-מכסור,Bir-Elmaksur
1031,שדרות,Sderot
1034,קריית מלאכי,Kiryat Malakhi
1060,לקייה,Lakiya
1063,מעלות-תרשיחא,Maalot Tarshiha
1137,קריית יערים,Kiryat Ye'arim
1161,רהט,Rahat
1247,חריש,Harish
1286,שגב שלום,Segev Shalom
1290,זמר,Zemar
1292,גדיידה-מכר,Judeide-Maker
1296,כסרא-סמיע,Kisra-Sumei
1309,אלעד,Elad
1326,בסמה,Basma
2034,חצור הגלילית,Hatzor Haglilit
2100,טירת כרמל,Tirat Carmel
2200,דימונה,Dimona
2400,אור יהודה,Or Yehuda
2560,ערד,Arad
2610,בית שמש,Beit Shemesh
2630,קריית גת,Kiryat Gat
2710,אום אל-פחם,Umm al-Fahm
2730,טייבה,Taibeh
2800,קריית שמונה,Kiryat Shmona
3000,ירושלים,Jerusalem
3557,קדומים,Kedumim
3574,בית אל,Beit El
3608,מעלה אפרים,Maale Efraim
3611,קריית ארבע,Kiryat Arba
3730,גבעת זאב,Givat Zeev
6000,באקה אל-גרביה,Baqa al-Gharbiyye
6100,בני ברק,Bnei Berak
6200,בת ים,Bat Yam
6700,טבריה,Tiberias
7000,לוד,Lod
7100,אשקלון,Ashkelon
7300,נצרת,Nazareth
7600,עכו,Akko
7700,עפולה,Afula
8500,רמלה,Ramla
8800,שפרעם,Shefaram
9000,באר שבע,Beer Sheva
9200,בית שאן,Beit Shean
9600,קריית ים,Kiryat Yam
