city,population
אום אל-פחם," 57,677 "
אופקים," 33,999 "
אור יהודה," 36,815 "
אור עקיבא," 19,902 "
אילת," 52,753 "
אלעד," 49,593 "
אריאל," 19,647 "
אשדוד," 225,975 "
אשקלון," 149,160 "
באקה אל-גרביה," 30,973 "
באר יעקב," 29,852 "
באר שבע," 211,251 "
בית שאן," 18,900 "
בית שמש," 141,764 "
ביתר עילית," 63,220 "
בני ברק," 212,395 "
בת ים," 126,290 "
גבעת שמואל," 28,162 "
גבעתיים," 61,281 "
דימונה," 35,892 "
הוד השרון," 65,363 "
הרצלייה," 103,318 "
חדרה," 100,631 "
חולון," 197,464 "
חיפה," 282,832 "
טבריה," 46,698 "
טייבה," 45,388 "
טירה," 27,392 "
טירת כרמל," 26,806 "
טמרה," 35,405 "
יבנה," 53,595 "
יהוד-מונוסון," 30,619 "
יקנעם עילית," 24,158 "
ירושלים," 966,210 "
כפר יונה," 27,898 "
כפר סבא," 101,801 "
כפר קאסם," 24,757 "
כרמיאל," 46,311 "
לוד," 82,629 "
מגאר," 23,624 "
מגדל העמק," 26,029 "
מודיעין-מכבים-רעות," 97,097 "
מודיעין עילית," 80,996 "
מעלה אדומים," 37,555 "
מעלות-תרשיחא," 22,315 "
נהרייה," 60,806 "
נוף הגליל," 42,657 "
נס ציונה," 50,456 "
נצרת," 77,925 "
נשר," 23,760 "
נתיבות," 42,039 "
נתניה," 224,066 "
סח'נין," 32,743 "
עכו," 49,614 "
עפולה," 59,075 "
עראבה," 26,641 "
ערד," 27,582 "
פתח תקווה," 252,270 "
צפת," 37,472 "
קלנסווה," 23,877 "
קריית אונו," 41,900 "
קריית אתא," 60,102 "
קריית ביאליק," 43,267 "
קריית גת," 60,582 "
קריית ים," 39,441 "
קריית מוצקין," 46,565 "
קריית מלאכי," 25,022 "
קריית שמונה," 22,336 "
ראש העין," 71,651 "
ראשון לציון," 257,128 "
רהט," 76,237 "
רחובות," 147,878 "
רמלה," 77,798 "
רמת גן," 169,706 "
רמת השרון," 47,970 "
רעננה," 78,562 "
שדרות," 30,553 "
שפרעם," 43,023 "
תל אביב -יפו," 467,875 "
אבו גוש," 7,880 "
אבו סנאן," 14,455 "
אבן יהודה," 14,266 "
אורנית," 9,114 "
אזור," 13,474 "
אכסאל," 15,146 "
אליכין," 3,461 "
אלפי מנשה," 7,966 "
אלקנה," 4,072 "
אעבלין," 13,692 "
אפרת," 11,804 "
בועיינה-נוג'ידאת," 10,137 "
בוקעאתא," 6,752 "
ביר אל-מכסור," 9,959 "
בית אל," 5,681 "
בית אריה-עופרים," 5,409 "
בית ג'ן," 12,307 "
בית דגן," 7,644 "
"בני עי""ש"," 6,895 "
בנימינה-גבעת עדה," 16,075 "
"בסמ""ה"," 10,497 "
בסמת טבעון," 8,068 "
בענה," 8,536 "
גבעת זאב," 20,034 "
ג'דיידה-מכר," 21,507 "
גדרה," 30,392 "
ג'ולס," 6,657 "
ג'לג'וליה," 10,480 "
גן יבנה," 24,251 "
גני תקווה," 22,694 "
ג'סר א-זרקא," 15,315 "
ג'ש (גוש חלב)," 3,154 "
ג'ת," 12,473 "
דאלית אל-כרמל," 18,061 "
דבורייה," 10,782 "
דייר אל-אסד," 12,935 "
דייר חנא," 10,599 "
הר אדר," 4,108 "
זכרון יעקב," 23,857 "
זמר," 7,360 "
זרזיר," 8,412 "
חורה," 23,943 "
חורפיש," 6,581 "
חצור הגלילית," 9,764 "
חריש," 27,006 "
טובא-זנגרייה," 7,011 "
טורעאן," 14,655 "
יאנוח-ג'ת," 6,851 "
יבנאל," 4,448 "
יסוד המעלה," 1,804 "
יפיע," 19,538 "
ירוחם," 11,031 "
ירכא," 17,576 "
כאבול," 14,473 "
כאוכב אבו אל-היג'א," 3,724 "
כוכב יאיר," 8,949 "
כסיפה," 23,219 "
כסרא-סמיע," 9,108 "
כעביה-טבאש-חג'אג'רה," 5,732 "
כפר ברא," 3,856 "
כפר ורדים," 5,531 "
כפר יאסיף," 10,323 "
כפר כמא," 3,479 "
כפר כנא," 23,705 "
כפר מנדא," 21,073 "
כפר קרע," 19,691 "
