incident_time,city,location_type,longitude,latitude,subcategory,category,gender,age,attitude,notes
2021-07-12 10:40:00,Ramla,residential,34.8596335,31.9238479,cigarette,cigarettes,male,20-29,negative,ההשלכה מתרחשת במקומות בהם יש כבר הרבה לכלוך
2021-07-12 10:58:00,Ramla,residential,34.8596335,31.9238479,cigarette,cigarettes,male,30-49,negative,אנשים מחפשים פח ואין פחים (בכלל או בכמות מספקת)
2021-07-12 11:20:00,Ramla,residential,34.8596335,31.9238479,bag,wrappers,male,10-19,negative,ההשלכה מתרחשת במקומות בהם יש כבר הרבה לכלוך
2021-07-12 11:41:00,Ramla,residential,34.8596335,31.9238479,package,wrappers,male,10-19,negative,ילד שהשליך פריט לכלוך
2021-07-12 11:59:00,Ramla,residential,34.8596335,31.9238479,bottle,liquid containers,male,20-29,negative,
2021-07-12 13:07:00,Ramla,residential,34.8611344,31.9281257,bag,wrappers,female,30-49,negative,פריט הלכלוך נפל בלי כוונה (כדור פלפל
2021-07-12 12:54:00,Ramla,residential,34.8611344,31.9281257,cigarette filter,cigarettes,male,20-29,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
2021-07-12 13:25:00,Ramla,residential,34.8611344,31.9281257,cigarette,cigarettes,male,30-49,negative,"פריט הלכלוך ""נפל מהיד"" כדרך להסוות את פעולה ההשלכה"
2021-07-12 12:55:00,Ramla,residential,34.8611344,31.9281257,other,misc,female,10-19,negative,ילד שהשליך פריט לכלוך
2021-07-12 01:00:00,Ramla,residential,34.8611344,31.9281257,package,wrappers,female,10-19,negative,ההשלכה מתרחשת במקומות בהם יש כבר הרבה לכלוך
2021-07-12 13:40:00,Ramla,residential,34.8611344,31.9281257,cup,wrappers,male,10-19,negative,ההשלכה מתרחשת סביב נקודות ספציפיות באוזר המדידה
2021-07-12 01:07:00,Ramla,residential,34.8611344,31.9281257,bottle,liquid containers,male,20-29,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
2021-07-12 02:40:00,Ramla,residential,34.8623619,31.9264101,cup,wrappers,female,10-19,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
2021-07-12 02:47:00,Ramla,residential,34.8623619,31.9264101,mask,misc,male,10-19,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
2021-07-12 02:51:00,Ramla,residential,34.8623619,31.9264101,package,wrappers,female,5-9,negative,ילד שהשליך פריט לכלוך
2021-07-12 02:55:00,Ramla,residential,34.8623619,31.9264101,tincan,liquid containers,female,20-29,positive,
2021-07-12 03:00:00,Ramla,residential,34.8623619,31.9264101,bottle,liquid containers,female,50-69,positive,
2021-07-12 03:16:00,Ramla,residential,34.8623619,31.9264101,other,misc,female,20-29,positive,
2021-07-12 03:25:00,Ramla,residential,34.8623619,31.9264101,cigarette,cigarettes,male,30-49,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
2021-07-12 03:30:00,Ramla,residential,34.8623619,31.9264101,snack,misc,male,5-9,negative,ילד שהשליך פריט לכלוך
2021-07-12 03:37:00,Ramla,residential,34.8623619,31.9264101,package,wrappers,male,10-19,negative,ילד שהשליך פריט לכלוך
2021-07-12 03:43:00,Ramla,residential,34.8623619,31.9264101,bag,wrappers,male,10-19,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
2021-07-12 03:46:00,Ramla,residential,34.8623619,31.9264101,cigarette filter,cigarettes,male,20-29,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
2021-07-12 03:50:00,Ramla,residential,34.8623619,31.9264101,cigarette,cigarettes,male,20-29,negative,נראה היה שפריט הלכלוך הושלך בכוונה.
