,id,sys_end_time,city,city_code,time_of_arrival,geo_location,location_address,location_type,Index1,time,parit,teorshlilihiyuvi,teortext,gender,age,point_type
0,1,2021-07-07 10:22:27,רמלה,8500,09:20:00,"31.9224141,34.8685917",רחוב זכריה,רחוב מגורים,1,09:38:00,בשעות בהם בוצעה הסקירה לא נכחו אנשים,חיובית,אין,נקבה,50-69,רחוב מגורים
1,1,2021-07-07 10:22:27,רמלה,8500,09:20:00,"31.9224141,34.8685917",רחוב זכריה,רחוב מגורים,2,09:50:00,אין,חיובית,אדם שהלך עם צידנית,זכר,50-69,רחוב מגורים
2,1,2021-07-07 10:22:27,רמלה,8500,09:20:00,"31.9224141,34.8685917",רחוב זכריה,רחוב מגורים,3,09:51:00,,חיובית,לא נזרק,נקבה,30-49,רחוב מגורים
3,1,2021-07-07 10:22:27,רמלה,8500,09:20:00,"31.9224141,34.8685917",רחוב זכריה,רחוב מגורים,4,09:52:00,,חיובית,לא לכלכה,נקבה,10-19,רחוב מגורים
4,1,2021-07-07 10:22:27,רמלה,8500,09:20:00,"31.9224141,34.8685917",רחוב זכריה,רחוב מגורים,5,09:55:00,,חיובית,לא נזרק לכלוך,נקבה,20-29,רחוב מגורים
5,1,2021-07-07 10:22:27,רמלה,8500,09:20:00,"31.9224141,34.8685917",רחוב זכריה,רחוב מגורים,6,09:59:00,,חיובית,לא נזרק כלום,זכר,70 ומעלה,רחוב מגורים
6,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,1,11:20:00,סיגריה,שלילית,השלכה,זכר,30-49,רחוב מסחרי
7,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,2,11:25:00,שקית נילון,שלילית,השלכה,זכר,50-69,רחוב מסחרי
8,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,3,11:55:00,שקיות,חיובית,השלכה ברכב,נקבה,30-49,רחוב מסחרי
9,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,4,12:05:00,סיגריה,שלילית,השלכה,נקבה,20-29,רחוב מסחרי
10,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,5,12:50:00,אריזות מזון,שלילית,השלכה ליד הרכב,זכר,50-69,רחוב מסחרי
11,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,6,13:10:00,שקית נייר,שלילית,השלכה ליד הרכב,זכר,30-49,רחוב מסחרי
12,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,7,01:00:00,א,חיובית,א,נקבה,5-9,רחוב מסחרי
13,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,8,01:00:00,א,חיובית,א,זכר,5-9,רחוב מסחרי
14,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,9,01:00:00,א,חיובית,א,זכר,5-9,רחוב מסחרי
15,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,10,01:00:00,א,חיובית,א,נקבה,5-9,רחוב מסחרי
16,3,2021-07-08 13:43:58,מגדל העמק,874,11:20:00,"32.6753736,35.2392182",מגדל העמק רחוב הזית,רחוב מסחרי,11,01:00:00,,חיובית,א,זכר,5-9,רחוב מסחרי
17,4,2021-07-08 15:29:42,מגדל העמק,874,14:00:00,"32.6797117,35.2372033",רחוב הראשונים - שוק,רחוב מסחרי,1,14:05:00,קרטון,שלילית,השלכה,זכר,50-69,רחוב מסחרי
18,4,2021-07-08 15:29:42,מגדל העמק,874,14:00:00,"32.6797117,35.2372033",רחוב הראשונים - שוק,רחוב מסחרי,2,14:07:00,קליפות תירס,שלילית,השלכה,זכר,50-69,רחוב מסחרי
